original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.","Action, Adventure, Science Fiction",Long live the king.,"africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett",/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,Released,"English, Korean, Swahili, Xhosa",7.3
Trinket Box,"A newlywed interracial couple Mike and Ava move to a new home set on starting new beginnings, but an historical evil, locked away for years, is about to break free and wreak havoc on their relationship and their lives.","Horror, Drama",Our love bleeds darkness.,"marriage, love, interracial relationship, evil, paranormal activity","Patrycja Kepa, Acoryé White","Acoryé White, Augie Duke, Cindy Hogan, Barry Ratcliffe, Sandra Ellis Lafferty, Joe Anthony Gordon, Zia Carlock, Conphidance, Andi Anderson, James Rosser",/wBPTRWIjnL1UAkn7AmnF19QABx.jpg,Released,English,3.0
Artifacts of Fear,"Enter a world of witches, murder, and mayhem in this anthology linked together by an infamous local antique store where things are not what they seem.",Horror,What are you afraid of?,"horror anthology, horror",Rusty Apper,"Luke Morgan, Cameron Patmore, Laurence R. Harvey, Paul Kelleher, Mark Porter, Carl Wharton, Nathan Head, Annmarie Hodson",/9qiMS1F8WxLFJOSzIF99zDhWNpT.jpg,Released,English,5.4
The Mangler,"When an accident involving a folding machine at an old laundry happens, detective John Hunton investigates. While he tries to solve the mystery, Bill Gartley, the owner, wants to find new victims for his machine.",Horror,It has a CRUSH on you!,"crushed, living machine, possessed, police officer, police investigation, industrial accident, accidents",Tobe Hooper,"Ted Levine, Robert Englund, Daniel Matmor, Vanessa Pike, Jeremy Crutchley, Demetre Phillips, Vera Blacker, Ashley Hayden, Danny Keogh, Ted Le Plat",/kUOcPtIgkOGOuSMeQ0etG55La4M.jpg,Released,English,4.5
Silas,"A profile of the life of Liberian activist Silas Siakor, a tireless crusader against illegal logging and a symbol of resistance for a new generation.",Documentary,No more business as usual,woman director,"Hawa Essuman, Anjali Nayar",Silas Kpanan'Ayoung Siakor,/ubq0W59rVvulJUPXpxjwZVpUKGZ.jpg,Released,English,7.9
Around the Fire,"Simon is an intelligent and privileged young man whose family expects him to become a Princeton graduate. Crying out for attention from his reserved and cool hearted family, Simon commits numerous petty crimes and is soon sent away to boarding school where he befriends a ""Deadhead,"" adopts the ""hippie"" lifestyle and dabbles in many drugs in his search for acceptance.","Drama, Romance",Finding a place to belong is just the beginning.,"rehabilitation, addiction, coming of age, drugs",John Jacobsen,"Devon Sawa, Bill Smitrovich, Tara Reid, Eric Mabius, Colman Domingo, Charlayne Woodard, Stephen Tobolowsky, Henri Lubatti, John Pirruccello, Daphne Brogdon",/gn7LxcbCk5bvdtpHeXupLWGuIbD.jpg,Released,English,5.3
Flesh and Fury,"Deaf boxer Paul Callan captures the interest of gold-digging blonde Sonya Bartow and retired fight manager 'Pop' Richardson. For a time, Sonya has the upper hand with Paul, but ultimately a rival appears in the shape of upper-crust reporter Ann Hollis. With a 3-way fight under way for influence over Paul, he takes matters into his own hands, but learns that getting what he wanted isn't necessarily a happy ending.",Drama,FURY IN HIS FISTS!...two kinds of women in his arms!,"sports, deaf, boxing",Joseph Pevney,"Tony Curtis, Jan Sterling, Mona Freeman, Wallace Ford, Connie Gilchrist, Katherine Locke, Harry Shannon, Louis Jean Heydt, Tom Powers, Nella Walker",/g3rqPHq3OzPI3HAR9CxIvNtrtjC.jpg,Released,English,6.6
Air America,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.","Action, Adventure, Comedy, Drama",The few. The proud. The totally insane.,"vietnam war, cia, airplane, drug smuggling, refugee camp, pilot, laos, drugs, 1960s",Roger Spottiswoode,"Mel Gibson, Robert Downey Jr., Nancy Travis, Ken Jenkins, David Marshall Grant, Lane Smith, Art LaFleur, Ned Eisenberg, Marshall Bell, David Bowe",/3p4ldj2ZjaoTNBVfb1pSMoMnRn8.jpg,Released,"English, Lao",5.8
October Baby,A beautiful and naive college freshman discovers that her entire life is a lie and sets out on a road trip with a host of misfits to discover herself and the answers she craves.,Drama,Every Life Is Beautiful,"forgiveness, self-discovery, adoption, epilepsy, asthma, road trip, lawyer, female protagonist, doctor, medication, biological mother, journey, college student, abortion, seizure, college freshman, father daughter relationship, pro life","Andrew Erwin, Jon Erwin","Rachel Hendrix, Jason Burkey, John Schneider, Jennifer Price, Colleen Trusler, James Austin Johnson, Amisho Lewis, Mary Tolley, Corey Winston, Lance E. Nichols",/dZWU5Hn4lkhid3MqVMCEPk9z9QI.jpg,Released,English,6.6
Superstar in a Housedress: The Life and Legend of Jackie Curtis,"Andy Warhol described Jackie Curtis as “A pioneer without a frontier.” In this biographical documentary, Curtis’s co-workers and friends speak of her work and her influence, along with clips from Curtis’s Warhol films as well as never-before-seen footage from her stage shows.",Documentary,"He was a celebrated playwright and poet. A pioneer in 1960's experimental film and theater. A Warhol superstar. He lived, and performed... sometimes as a man, sometimes as a woman.","superstar, drag, transgender, andy warhol",Craig Highberger,"Jackie Curtis, Paul Ambrose, Michael André, Penny Arcade, David Bowie, Joe Dallesandro, Candy Darling, Taylor Mead, Sylvia Miles, Lily Tomlin",/hE3ORzTNBQAgB3fwSwyCxNORfKh.jpg,Released,English,7.6
Salt Lake Raiders,"A man is sent to jail for murder escapes while being transferred, Rocky is sent to bring him in. When he catches him in a ghost town the man claims to be innocent and was trying to clear himself by finding the stolen money that was never recoveded at the time of the killing. But then they find themselves prisoners of an outlaw gang that is also after the money.",Western,"SMOKING SIX-GUNS SETTLE A SCORE!...as ""Rocky"" Blasts His Way Out Of A Killer's Trap!",murder,Fred C. Brannon,"Allan Lane, Black Jack, Eddy Waller, Roy Barcroft, Martha Hyer, Byron Foulger, Myron Healey, Clifton Young, Stanley Andrews, Rory Mallinson",/amT7zeWfRLFljeKECGCFsVU5FsU.jpg,Released,English,6.3
Love's Last Resort,"After ten years of dating, Chloe’s boyfriend Eric still hasn’t matured. Hoping to give him the push he needs, she dumps him; confident Eric will grow up and beg her to come back. However, six months later, Eric meets Chloe for dinner with big news: he’s getting married in a week. Needing a break to mend her broken heart, Chloe takes a vacation, but when she arrives, she learns that Eric and his fiancée are getting married at the same resort!","Drama, Romance, TV Movie",You never know where love will find you .,"sadness, wedding planner, engagement, slacker, singer, author, hospital, doctor, break-up, man child, tv show in film, fake boyfriend, hotel manager, blogger, boyfriend girlfriend relationship, fiancé fiancée relationship, medical school, anniversary, sitcom, college student, long term relationship",Brian Herzlinger,"Alix Angelis, Thomas Beaudoin, Jesse Hutch, April Bowlby, Lily Rains, Alan Thicke, Ellen Greene, Bob Rumnock, Jean St. James, Jamison Newlander",/7jJ1HazHHm9y5eafS5KprFchPCq.jpg,Released,English,5.5
The Strange Affair,"When rookie P.C. Strange falls for an under aged girl, he is unknowingly compromised by a pair of pornographers. Meanwhile, seasoned Det. Pierce is out to catch mob boss Quince and soon both plots intertwine.",Drama,His name is P.C. Strange... Her name is Frederika... All of tonight's secrets will be used against them tomorrow!,corruption,David Greene,"Michael York, Jeremy Kemp, Susan George, Jack Watson, Nigel Davenport, George Benson, George A. Cooper, Barry Fantoni, Artro Morris, Richard Pearson",/y1rC71V9BKbZXmeils2j3tO7ASh.jpg,Released,English,6.3
Circus,"Bruno, a sadistic criminal, wants clever con man Leo out of the way. Leo and his equally clever wife, Lily, are up to something. So too is Julius: he hires Leo to kill Gloria, Julius's wife. Leo does it, but then Julius shows up with the murder on tape, saying Gloria isn't his wife - it's blackmail. Leo's bookie, Troy, is also closing in, wanting to be paid. Bruno and Lily as well as Bruno and Julius have their own scams running, and Leo is their target. Maybe Leo can get Troy off his back, avoid Moose (Bruno's huge enforcer), send Gloria's corpse out of England, turn the tables on Bruno's murderous brother Caspar, and outfox Lily. Or is Lily his fox? It's a three-ring circus.","Crime, Drama, Thriller",A Stylish Brit Thriller,"london, england, gangster, dark comedy, rope, swimming pool, interracial relationship, brighton, england, american, strangulation, laptop, double cross, wig, mini cooper, broken finger, contract killer, foot pursuit, room service",Rob Walker,"John Hannah, Famke Janssen, Peter Stormare, Eddie Izzard, Fred Ward, Brian Conley, Amanda Donohoe, Jason Watkins, Christopher Biggins, Neil Stuke",/ueuu6NbMuypthtEFXOM4hOIRpu7.jpg,Released,"Spanish, English",5.5
Hello Down There,"Given the chance to live in a simulated underwater home for a month, a scientist convinces his family to take advantage of the offer. Once the family agrees to move in, underwater mayhem occurs!","Comedy, Music, Science Fiction",A combo of scuba dupes rock up a storm in a mad pad under the surf!,underwater,Jack Arnold,"Tony Randall, Janet Leigh, Ken Berry, Roddy McDowall, Charlotte Rae, Richard Dreyfuss, Jim Backus, Kay Cole, Lou Wagner, Gary Tigerman",/bJR09VelGnW9aR2Kkx0MNPmZu5k.jpg,Released,English,5.7
The Mystery of Marilyn Monroe: The Unheard Tapes,This documentary explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.,Documentary,"The brighter the star, the darker the truth.","interview, archival footage, found footage, hollywood star, film archives, documentary, biographical, archive footage, documental, testimonials, marilyn monroe",Emma Cooper,"Linzi Hateley, CJ Johnson, Sorel Johnson, Andre Lillis, Sion Lloyd, Shelagh McLeod, Jason Mulhearn, Brian James Twiddy",/9Ab3MEngH2sWK8uydGBFfgZDB4z.jpg,Released,"Croatian, English",6.2
Underground,"Underground is a 1976 documentary film about the Weathermen, founded as a militant faction of the Students for a Democratic Society (SDS), who fought to overthrow the U.S. government during the 1960s and 1970s. The film consists of interviews with members of the group after they went underground and footage of the anti-war and civil rights protests of the time. It was directed by Emile de Antonio, Haskell Wexler and Mary Lampson, later subpoenaed by the Federal Bureau of Investigation in an attempt to confiscate the film footage in order to gain information that would help them arrest the Weathermen. (Wikipedia)",Documentary,The Film The FBI Didn't Want You To See,"politics, political activism","Emile de Antonio, Mary Lampson, Haskell Wexler","Bill Ayers, Kathy Boudin, Bernardine Dohrn, Jeff Jones, Cathy Wilkerson",/tG9opFKaq9mW9axAUnGL8gZHXFR.jpg,Released,"Vietnamese, English, Spanish",7.1
How to Play Golf,"Goofy shows us, in his inimitable way, the fundamentals of golf, guided as usual by the somewhat sarcastic narrator.","Animation, Comedy",Goofy Golf,"how to, short film",Jack Kinney,"Fred Shields, Pinto Colvig",/dUaD7caOmsYauemJYf2Wn7V1bKo.jpg,Released,English,7.1
"Ebbe - The Movie: Mannen, Myten, Affären",A documentary dealing with the publisher Ebbe Carlsson's decision to start his own investigation on the murder of Swedish Prime Minister Olof Palme,Documentary,"The Man, the Myth, the Scandal","aids, woman director, political scandal","Karin af Klintberg, Jane Magnusson","Ebbe Carlsson, Anna-Greta Leijon, Mårten Palme, Mia Gerdin, Åsa Andersson, Tove Lundin, Torgny Wärn, Anders Ferm, Anders Isaksson, Sverker Åström",/f9yQBl1eWI9rmZqe5p84JRvIdd7.jpg,Released,Swedish,6.8
제8일의 밤,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.","Mystery, Thriller, Horror",Dark night of the soul.,"monk, supernatural, buddha, resurrection, talisman, shaman, guilt, animal death, exorcist, dark, korean, suspense, dark fiction, spirit possession",Kim Tae-hyung,"Lee Sung-min, Nam Da-reum, Park Hae-jun, Kim You-jung, Kim Dong-young, Lee Eol, Choi Jin-ho, Go Seo-hee, Park Se-hyun, Ryu Sung-hyun",/trSDStH3UP4ux4lAILNNSqDXSB3.jpg,Released,"Korean, English",5.4
Come Sunday,Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell.,Drama,Believer. Preacher. Heretic.,religion,Joshua Marston,"Chiwetel Ejiofor, Martin Sheen, Danny Glover, Dola Rashad, Jason Segel, LaKeith Stanfield, Joni Bovill, Tracey Bonner, Selena Anduze, Tonea Stewart",/oucoXiLsc07YryywgjddmU3YoDV.jpg,Released,"English, Italian",6.0
The Secret Code,A superhero known as The Black Commando battles Nazi agents who use explosive gases and artificial lightning to sabotage the war effort.,"Adventure, Action",GREATEST SPY ACTION SERIAL OF ALL TIME!,"spy, secret identity, superhero, code breaking, masked vigilante, movie serial",Spencer Gordon Bennet,"Paul Kelly, Anne Nagel, Trevor Bardette, Rudolph Anders, Clancy Cooper, Gregory Gaye, Ludwig Donath, Beal Wong, Eddie Parker, Wade Boteler",/5Sqc1PFR5Fvit9Cvhv5DceF0xsm.jpg,Released,English,7.6
